source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
openweathermap,2026-05-08 09:27:37.641834+00:00,Thiès,TH,14.7886,-16.9255,23.08,22.75,50.0,1012.0,6.53,360,802,2026-05-08T09:27:37.800725+00:00,OK,partiellement nuageux
open-meteo,2026-05-08 09:27:39.569507+00:00,Diourbel,DB,14.6554,-16.2322,24.6,24.3,53.0,1010.6,11.3,347,0,2026-05-08T09:27:40.007849+00:00,OK,
openweathermap,2026-05-08 09:27:39.935350+00:00,Diourbel,DB,14.6554,-16.2322,24.09,24.12,60.0,1011.0,9.26,360,800,2026-05-08T09:27:40.030777+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:41.826830+00:00,Fatick,FK,14.339,-16.4114,24.5,24.7,54.0,1011.4,9.8,354,0,2026-05-08T09:27:42.654971+00:00,OK,
openweathermap,2026-05-08 09:27:42.553607+00:00,Fatick,FK,14.339,-16.4114,25.42,25.11,42.0,1012.0,5.54,343,800,2026-05-08T09:27:42.685860+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:44.583634+00:00,Kaolack,KL,14.1652,-16.0726,25.5,25.3,48.0,1011.0,9.0,347,1,2026-05-08T09:27:45.013932+00:00,OK,
openweathermap,2026-05-08 09:27:44.927433+00:00,Kaolack,KL,14.1652,-16.0726,24.97,24.91,53.0,1012.0,5.14,360,800,2026-05-08T09:27:45.045878+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:46.830508+00:00,Kaffrine,KF,14.1059,-15.5503,26.6,26.3,41.0,1010.3,7.2,347,3,2026-05-08T09:27:47.763371+00:00,OK,
openweathermap,2026-05-08 09:27:47.659187+00:00,Kaffrine,KF,14.1059,-15.5503,26.75,26.38,33.0,1012.0,2.25,355,800,2026-05-08T09:27:47.800717+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:50.672957+00:00,Tambacounda,TC,13.7707,-13.6673,31.8,30.5,29.0,1007.0,11.3,297,3,2026-05-08T09:27:51.308375+00:00,OK,
openweathermap,2026-05-08 09:27:51.046366+00:00,Tambacounda,TC,13.7707,-13.6673,29.12,30.93,58.0,1011.0,4.12,240,800,2026-05-08T09:27:51.224413+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:52.939666+00:00,Kédougou,KD,12.5559,-12.1747,30.8,29.1,38.0,996.9,22.2,265,3,2026-05-08T09:27:53.582734+00:00,OK,
openweathermap,2026-05-08 09:27:53.508383+00:00,Kédougou,KD,12.5559,-12.1747,30.31,30.73,45.0,1011.0,3.09,240,800,2026-05-08T09:27:53.609331+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:55.776015+00:00,Kolda,KO,12.8989,-14.9413,28.6,29.1,41.0,1008.3,5.4,304,1,2026-05-08T09:27:56.143035+00:00,OK,
openweathermap,2026-05-08 09:27:56.063498+00:00,Kolda,KO,12.8989,-14.9413,27.05,28.86,69.0,1012.0,2.06,220,800,2026-05-08T09:27:56.235481+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:27:57.948487+00:00,Sédhiou,SD,12.708,-15.5569,27.8,28.0,42.0,1009.3,6.2,324,0,2026-05-08T09:27:58.578304+00:00,OK,
openweathermap,2026-05-08 09:27:58.502940+00:00,Sédhiou,SD,12.708,-15.5569,29.49,28.29,30.0,1012.0,1.12,350,803,2026-05-08T09:27:58.687390+00:00,OK,nuageux
open-meteo,2026-05-08 09:28:00.655167+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.3,27.7,54.0,1010.1,5.5,322,0,2026-05-08T09:28:01.049186+00:00,OK,
openweathermap,2026-05-08 09:28:00.935577+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.03,26.03,69.0,1012.0,1.03,340,800,2026-05-08T09:28:01.084538+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:28:02.812133+00:00,Saint-Louis,SL,16.0179,-16.4896,23.1,22.5,65.0,1011.1,18.8,345,3,2026-05-08T09:28:04.052072+00:00,OK,
openweathermap,2026-05-08 09:28:03.523125+00:00,Saint-Louis,SL,16.0179,-16.4896,23.99,24.25,69.0,1012.0,4.12,360,800,2026-05-08T09:28:03.594955+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:28:05.612637+00:00,Louga,LG,15.6179,-16.2241,24.0,23.7,56.0,1007.0,12.6,343,3,2026-05-08T09:28:06.033081+00:00,OK,
openweathermap,2026-05-08 09:28:05.920018+00:00,Louga,LG,15.6179,-16.2241,24.45,24.13,45.0,1012.0,6.76,346,800,2026-05-08T09:28:06.132203+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:28:07.841367+00:00,Matam,MT,15.6559,-13.2557,32.7,30.1,24.0,1007.5,16.1,340,3,2026-05-08T09:28:08.684041+00:00,OK,
openweathermap,2026-05-08 09:28:08.565458+00:00,Matam,MT,15.6559,-13.2557,30.03,29.96,42.0,1010.0,2.06,340,800,2026-05-08T09:28:08.746147+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:10.595356+00:00,Dakar,DK,14.6928,-17.4467,22.6,22.3,73.0,1011.3,20.7,359,2,2026-05-08T09:29:11.850929+00:00,OK,
openweathermap,2026-05-08 09:29:11.703684+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.45,83.0,1012.0,6.17,320,800,2026-05-08T09:29:11.813999+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:13.589272+00:00,Thiès,TH,14.7886,-16.9255,23.6,23.6,64.0,1003.6,15.5,347,3,2026-05-08T09:29:14.036069+00:00,OK,
openweathermap,2026-05-08 09:29:13.955294+00:00,Thiès,TH,14.7886,-16.9255,23.08,22.75,50.0,1012.0,6.53,360,802,2026-05-08T09:29:14.067086+00:00,OK,partiellement nuageux
open-meteo,2026-05-08 09:29:16.618321+00:00,Diourbel,DB,14.6554,-16.2322,24.6,24.3,53.0,1010.6,11.3,347,0,2026-05-08T09:29:17.727319+00:00,OK,
openweathermap,2026-05-08 09:29:17.640886+00:00,Diourbel,DB,14.6554,-16.2322,24.09,24.12,60.0,1011.0,9.26,360,800,2026-05-08T09:29:17.771634+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:19.588249+00:00,Fatick,FK,14.339,-16.4114,24.5,24.7,54.0,1011.4,9.8,354,0,2026-05-08T09:29:20.223569+00:00,OK,
openweathermap,2026-05-08 09:29:20.091164+00:00,Fatick,FK,14.339,-16.4114,25.42,25.11,42.0,1012.0,5.54,343,800,2026-05-08T09:29:20.257548+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:22.668988+00:00,Kaolack,KL,14.1652,-16.0726,25.5,25.3,48.0,1011.0,9.0,347,1,2026-05-08T09:29:23.883653+00:00,OK,
openweathermap,2026-05-08 09:29:23.698533+00:00,Kaolack,KL,14.1652,-16.0726,24.97,24.91,53.0,1012.0,5.14,360,800,2026-05-08T09:29:23.954998+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:25.583000+00:00,Kaffrine,KF,14.1059,-15.5503,26.6,26.3,41.0,1010.3,7.2,347,3,2026-05-08T09:29:26.059361+00:00,OK,
openweathermap,2026-05-08 09:29:25.968002+00:00,Kaffrine,KF,14.1059,-15.5503,26.75,26.38,33.0,1012.0,2.25,355,800,2026-05-08T09:29:26.092968+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:28.646295+00:00,Tambacounda,TC,13.7707,-13.6673,31.8,30.5,29.0,1007.0,11.3,297,3,2026-05-08T09:29:29.637941+00:00,OK,
openweathermap,2026-05-08 09:29:29.554321+00:00,Tambacounda,TC,13.7707,-13.6673,29.12,30.93,58.0,1011.0,4.12,240,800,2026-05-08T09:29:29.686925+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:31.442081+00:00,Kédougou,KD,12.5559,-12.1747,30.8,29.1,38.0,996.9,22.2,265,3,2026-05-08T09:29:31.822779+00:00,OK,
openweathermap,2026-05-08 09:29:31.707108+00:00,Kédougou,KD,12.5559,-12.1747,30.31,30.73,45.0,1011.0,3.09,240,800,2026-05-08T09:29:31.858749+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:34.675418+00:00,Kolda,KO,12.8989,-14.9413,28.6,29.1,41.0,1008.3,5.4,304,1,2026-05-08T09:29:35.609060+00:00,OK,
openweathermap,2026-05-08 09:29:35.488728+00:00,Kolda,KO,12.8989,-14.9413,27.05,28.86,69.0,1012.0,2.06,220,800,2026-05-08T09:29:35.773211+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:37.370480+00:00,Sédhiou,SD,12.708,-15.5569,27.8,28.0,42.0,1009.3,6.2,324,0,2026-05-08T09:29:37.717488+00:00,OK,
openweathermap,2026-05-08 09:29:37.643409+00:00,Sédhiou,SD,12.708,-15.5569,29.49,28.29,30.0,1012.0,1.12,350,803,2026-05-08T09:29:38.153671+00:00,OK,nuageux
open-meteo,2026-05-08 09:29:39.576435+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.3,27.7,54.0,1010.1,5.5,322,0,2026-05-08T09:29:39.935591+00:00,OK,
openweathermap,2026-05-08 09:29:39.860982+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.03,26.03,69.0,1012.0,1.03,340,800,2026-05-08T09:29:39.960875+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:41.730412+00:00,Saint-Louis,SL,16.0179,-16.4896,23.1,22.5,65.0,1011.1,18.8,345,3,2026-05-08T09:29:42.696513+00:00,OK,
openweathermap,2026-05-08 09:29:42.464402+00:00,Saint-Louis,SL,16.0179,-16.4896,23.99,24.25,69.0,1012.0,4.12,360,800,2026-05-08T09:29:42.597619+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:44.618449+00:00,Louga,LG,15.6179,-16.2241,24.0,23.7,56.0,1007.0,12.6,343,3,2026-05-08T09:29:45.034504+00:00,OK,
openweathermap,2026-05-08 09:29:44.921075+00:00,Louga,LG,15.6179,-16.2241,24.45,24.13,45.0,1012.0,6.76,346,800,2026-05-08T09:29:45.090142+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:29:46.820544+00:00,Matam,MT,15.6559,-13.2557,32.7,30.1,24.0,1007.5,16.1,340,3,2026-05-08T09:29:47.628851+00:00,OK,
openweathermap,2026-05-08 09:29:47.474416+00:00,Matam,MT,15.6559,-13.2557,30.03,29.96,42.0,1010.0,2.06,340,800,2026-05-08T09:29:47.698492+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:30:49.764286+00:00,Dakar,DK,14.6928,-17.4467,22.9,22.6,72.0,1011.4,20.5,1,1,2026-05-08T09:30:50.575897+00:00,OK,
openweathermap,2026-05-08 09:30:50.485175+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.45,83.0,1012.0,6.17,320,800,2026-05-08T09:30:50.602944+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:30:52.435940+00:00,Thiès,TH,14.7886,-16.9255,24.3,24.2,61.0,1003.7,15.8,348,2,2026-05-08T09:30:53.035553+00:00,OK,
openweathermap,2026-05-08 09:30:52.911567+00:00,Thiès,TH,14.7886,-16.9255,23.08,22.75,50.0,1012.0,6.53,360,802,2026-05-08T09:30:53.149017+00:00,OK,partiellement nuageux
open-meteo,2026-05-08 09:30:55.744467+00:00,Diourbel,DB,14.6554,-16.2322,25.4,25.2,50.0,1010.7,10.7,348,1,2026-05-08T09:30:56.636863+00:00,OK,
